Number of newly added trainable parameters: 1800. Total number of trainable parameters: 1800
Number of newly added trainable parameters: 430. Total number of trainable parameters: 2230
⚠️ Starting from scratch...

--- 🚀 CHUNK 1/10 (100 trials) ---
Added 50 recordings. See `.recordings` for details.
Epoch 29: Loss 6097.9457
Epoch 30: Loss 6214.5938
Epoch 31: Loss 5647.1251
Epoch 32: Loss 5647.1251
Epoch 33: Loss 5905.5268
Epoch 34: Loss 6329.9635
Epoch 35: Loss 5766.4882
Epoch 36: Loss 5870.9914
Epoch 37: Loss 5655.8400
Epoch 38: Loss 5535.1561
Epoch 39: Loss 5535.1561
Epoch 40: Loss 6166.9446
Epoch 41: Loss 5895.5985
Epoch 42: Loss 5701.5668
Epoch 43: Loss 5842.3991
Epoch 44: Loss 6079.0388
Epoch 45: Loss 5691.2180
Epoch 46: Loss 6061.0528
Epoch 47: Loss 6226.5751
Epoch 48: Loss 5776.9105
Epoch 49: Loss 5942.8783
Epoch 50: Loss 6126.1945
Epoch 51: Loss 5960.2586
Epoch 52: Loss 6590.9375
Epoch 53: Loss 5908.1340
Epoch 54: Loss 5714.1628
Epoch 55: Loss 5881.5732
Epoch 56: Loss 6057.2864
Epoch 57: Loss 5880.4025
Epoch 58: Loss 5987.6056
Epoch 59: Loss 5762.6459
Epoch 60: Loss 5643.1516
Epoch 61: Loss 5802.0456
Epoch 62: Loss 6057.9247
Epoch 63: Loss 6734.6423
Epoch 64: Loss 6350.1062
Epoch 65: Loss 5971.1845
Epoch 66: Loss 5997.9971
Epoch 67: Loss 6650.9416
Epoch 68: Loss 6325.5772
Epoch 69: Loss 5732.1426
Epoch 70: Loss 6286.2111
Epoch 71: Loss 5662.3672
Epoch 72: Loss 5561.6572
Epoch 73: Loss 5942.8348
Epoch 74: Loss 5825.2452
Epoch 75: Loss 5614.7950
Epoch 76: Loss 5940.1577
Epoch 77: Loss 5774.5949
Epoch 78: Loss 5873.4837
Epoch 79: Loss 6193.8424
Epoch 80: Loss 6169.9065
Epoch 81: Loss 5831.4826
Epoch 82: Loss 6653.3128
Epoch 83: Loss 6371.7043
Epoch 84: Loss 5788.7265
Epoch 85: Loss 5602.3147
Epoch 86: Loss 5838.6849
Epoch 87: Loss 5651.4364
Epoch 88: Loss 5518.0275
Epoch 89: Loss 5518.0275
Epoch 90: Loss 5790.0998
Epoch 91: Loss 5582.8795
Epoch 92: Loss 6214.4462
Epoch 93: Loss 5732.0967
Epoch 94: Loss 5630.6565
Epoch 95: Loss 5424.8646
Epoch 96: Loss 5424.8646
Epoch 97: Loss 5649.3022
Epoch 98: Loss 5724.2652
Epoch 99: Loss 6082.6559
Added 50 recordings. See `.recordings` for details.
📊 Chunk 5 Final Kappas - Pre: 0.0855 | Stim: 0.0865 | Post: 0.1202
⚠️ Total Kappa (0.2923) > 0.1. Continuing training...

--- 🚀 CHUNK 6/10 (100 trials) ---
Added 50 recordings. See `.recordings` for details.
Epoch 0: Loss 5754.9387
Epoch 1: Loss 5754.9387
Epoch 2: Loss 6028.9450
Epoch 3: Loss 7392.5894
Epoch 4: Loss 6902.4404
Epoch 5: Loss 7342.9802
Epoch 6: Loss 7232.8584
Epoch 7: Loss 8535.7476
Epoch 8: Loss 9433.9704
Epoch 9: Loss 9634.7400
Epoch 10: Loss 9600.7973
Epoch 11: Loss 5832.1230
Epoch 12: Loss 6732.5077
Epoch 13: Loss 6445.8462
Epoch 14: Loss 6848.5369
Epoch 15: Loss 6163.0059
Epoch 16: Loss 6292.6625
Epoch 17: Loss 6540.3239
Epoch 18: Loss 5829.4281
Epoch 19: Loss 6051.4781
Epoch 20: Loss 5894.7340
Epoch 21: Loss 5723.3293
Epoch 22: Loss 5723.3293
Epoch 23: Loss 5871.5742
Epoch 24: Loss 5868.5366
Epoch 25: Loss 6103.4952
Epoch 26: Loss 5826.0209
Epoch 27: Loss 5676.1458
Epoch 28: Loss 5676.1458
Epoch 29: Loss 6011.9434
Epoch 30: Loss 5930.4166
Epoch 31: Loss 5492.1132
Epoch 32: Loss 5492.1132
Epoch 33: Loss 5688.7396
Epoch 34: Loss 5912.8913
Epoch 35: Loss 5839.4735
Epoch 36: Loss 5586.5236
Epoch 37: Loss 6023.5246
Epoch 38: Loss 5645.3934
Epoch 39: Loss 6034.9371
Epoch 40: Loss 5569.0136
Epoch 41: Loss 5746.3801
Epoch 42: Loss 5842.0489
Epoch 43: Loss 5826.6366
Epoch 44: Loss 5874.1143
Epoch 45: Loss 5823.4535
Epoch 46: Loss 5589.7095
Epoch 47: Loss 5701.9725
Epoch 48: Loss 5736.4829
Epoch 49: Loss 5765.5816
